作者规范,六帖部类,高值句数,最高相似度,平均相似度,代表诗题,代表诗句,代表六帖词条,代表六帖注文,代表相似度
罗隐,相思,1,0.754745,0.754745,思故人,故人不可见,我思故人,,0.754745
罗隐,遺物,1,0.74173,0.74173,寄易定公乘亿侍郎,昭王有馀烈,墜屨,昭王。,0.74173
翁承赞,食,1,0.783571,0.783571,晨兴,旅食甘藜藿,藜藿,《七發》曰：予甘藜藿，未暇此食。,0.783571
耿湋,菊,2,0.752234,0.752234,九日,更望尊中菊花酒,菊花酒,費長房謂桓景：「九月九日可登高，飲菊花酒以消災。,0.752234
聂夷中,仙,2,0.815883,0.815883,相和歌辞。胡无人行,更愿生羽翼,生羽翼,,0.815883
胡曾,貴,1,0.76051,0.76051,咏史诗。上蔡,功成不解谋身退,身退,功成名遂身退，天之道。,0.76051
舒元舆,求仙,1,0.79497,0.79497,八月五日中部官舍读唐历天宝已来追怆故事,神仙不可求,神仙,,0.79497
舒道纪,兄弟,1,0.80801,0.80801,题赤松宫（今兰溪县之赤松山。王初平亦称赤松子）,人皆有兄弟,人兄,教以弟所以敬天下之為人兄也。,0.80801
苏涣,織紝,1,0.762948,0.762948,变律（本十九首，今存三首）,一女不得织,一婦不織,賈誼曰：「一婦不織，有受其寒者。,0.762948
苏颋,星,1,0.818246,0.818246,饯荆州崔司马,星拱北辰居,拱北辰,《語》：為政以德，譬如北辰。居其所，眾星拱之。,0.818246
苏颋,貴,1,0.777248,0.777248,送光禄姚卿还都,九卿朝已入,四至,九卿。,0.777248
苏颋,馬,1,0.77529,0.77529,夜宴安乐公主新宅,车如流水马如龙,如龍,《漢書》曰：車如流水馬如龍。,0.77529
苏颋,夫婦,1,0.750775,0.750775,奉和姚令公温汤旧馆永怀故人卢公之作,同心不可忘,同心,僶俛同心。,0.750775
莫宣卿,井,1,0.821402,0.821402,答问读书居,井汲冽寒泉,冽井,井冽寒泉。,0.821402
萧颖士,美人,1,0.79934,0.79934,菊荣一篇五章,彼美淑人,彼美,淑姬。見上注。,0.79934
萧颖士,貧,1,0.792501,0.792501,江有枫一篇十章,君子居焉,君子居,《易》以俟命。,0.792501
萧颖士,對見,1,0.776433,0.776433,江有归舟三章,扬于王庭,揚于王庭。,,0.776433
萧颖士,言語,1,0.767724,0.767724,菊荣一篇五章,诗人有言,發言為詩,,0.767724
董思恭,日,1,0.800723,0.800723,咏日,更也人皆仰,皆仰,人皆仰之。,0.800723
薛据,君臣,1,0.74738,0.74738,古兴,自言皆近臣,近臣,漢嚴助為太中大夫後得朱買臣吾邱壽王主父偃徐樂嚴安枚臯從車並在左右助等與大臣辨論中外相應以義理之文大臣數詘司馬相如數稱疾避事枚臯東方朔不根持論上頗俳優畜之唯助與壽王見任而助最先進,0.74738
薛能,弔,2,0.744636,0.744636,横吹曲辞。长安道,不相知姓名,不知名,《漢》：龔勝死，有父老弔之，甚哀曰：「膏以明自煎，龔生竟夭天年。人莫知其名也。」,0.744636
薛能,龍,1,0.801118,0.801118,又和留山鸡,由来不是池中物,非池中物,《吳志》：龍非池中物，雨必飛去。,0.801118
薛能,役使不均,1,0.74773,0.74773,春日寓怀,无端患不均,不患寡而患不均,《語》。,0.74773
袁朗,雪,1,0.801805,0.801805,和洗掾登城南坂望京邑,飞雪千里回,飛雪千里,《楚辭》。,0.801805
裴交泰,月,2,0.755936,0.755936,相和歌辞。长门怨,一种蛾眉明月夜,蛾眉,纖纖似玉鉤，娟娟若蛾眉，謂初月。,0.755936
裴潾,哭,1,0.975002,0.975002,前相国赞皇公早葺平泉山居暂还憩…十四首奉寄,泣涕如雨,泣涕如雨,,0.975002
裴潾,宮殿,1,0.776989,0.776989,前相国赞皇公早葺平泉山居暂还憩…十四首奉寄,夏凊冬温,順晦明而朝啓夕閉,易寒暑而夏凊冬溫,0.776989
裴潾,拜揖,1,0.771269,0.771269,前相国赞皇公早葺平泉山居暂还憩…十四首奉寄,公拜稽首,責稽首,《傳》：齊人責稽首。注：往年齊侯為公稽首，公不答故也。,0.771269
裴潾,言語,1,0.768773,0.768773,前相国赞皇公早葺平泉山居暂还憩…十四首奉寄,诗以足言,言以足志,不言誰知其志也。,0.768773
褚亮,祭祀,1,0.741959,0.741959,享先农乐章。诚和,式崇明祀,祭祀之式,《周禮．太宰》：以九式均節財用。一曰：祭祀之式，謂財用之節度。,0.741959
许宣平,老,1,0.808212,0.808212,庵壁题诗,乐矣不知老,不知老之將至,,0.808212
许棠,行人,1,0.803451,0.803451,秋日归旧山,行人不愿看,行人不使。,今兩國治戎行人不使不可謂整,0.803451
许棠,言語,1,0.743775,0.743775,宿青山馆,无言有所思,似不能言,,0.743775
许浑,吏隱,2,0.787302,0.767429,题灞西骆隐士,却笑南昌尉,南昌尉,梅福子真為南昌尉，時人謂之神仙之吏。,0.787302
许浑,仙,1,0.815972,0.815972,王居士,即应生羽翼,生羽翼,,0.815972
许浑,儒教,1,0.76879,0.76879,送郑寂上人南行,儒家有释子,君子之儒,子謂子夏，曰：「汝為君子儒，無為小人儒。,0.76879
谢良辅,燈燭,1,0.821447,0.821447,忆长安。正月,烧灯青玉五枝,青玉五枝燈,《西京雜記》曰：「高祖入咸陽宮，秦有青玉五枝燈，高七尺五寸，有蟠螭口銜燈，然之，鱗甲皆動，煥炳列星。,0.821447
谢陶,死,1,0.746245,0.746245,杂言,暂不得即死,不得永年,若使憂能傷人，此子不得永年矣。《孔融與曹公》云。,0.746245
豆卢回,乳母,1,0.759295,0.759295,登乐游原怀古,虽在襁褓中,襁褓三月,,0.759295
