unit_id,granularity,poem_id,source_poetry_id,poet_id,作者,作者规范,题目,source,line_index,line_length_guess,text,embedding_text,embedding_chars,candidate_ngram,candidate_source,row_id,best_similarity,六帖卷,六帖部类,六帖部类序号,六帖部类附名,六帖词条,六帖注文,六帖解析注文,注文類型规范,注文计算策略,line_high_count_in_poem
2709,poem_from_line,11843,11848,153,顾况,顾况,从江西至彭蠡入浙西淮南界道中寄齐相公,Ethan-do0707/tang_poetry,45,5,草木生春融,草木生春融,5,草木生,leishu_3gram,1337,0.715883,一,春,二十八,立春,草木,草曰弱草，芳草，芳卉。木曰文木，華樹，芳樹，陽林，茂林。,草曰弱草，芳草，芳卉。木曰文木，華樹，芳樹，陽林，茂林。,解释文意,weighted_channels,0
2710,poem_from_line,11844,11849,153,顾况,顾况,寄上兵部韩侍郎奉呈李户部、卢刑部、杜三侍郎,Ethan-do0707/tang_poetry,24,5,出门多岐路,出门多岐路,5,多岐路,leishu_3gram,4041,0.748262,三,道路,五,,多岐,楊朱曰：「大道多岐，亡羊也。」,楊朱曰：「大道多岐，亡羊也。」,出处原文,weighted_channels,1
2711,poem_from_line,11845,11850,153,顾况,顾况,长安窦明府后亭,Ethan-do0707/tang_poetry,2,5,五日一朝天,五日一朝天,5,五日一,leishu_3gram,1986,0.663189,一,五月五日,四十六,,五日良時,,,,weighted_channels_untyped_fallback,0
2712,poem_from_line,11846,11851,153,顾况,顾况,谢王郎中见赠琴鹤,Ethan-do0707/tang_poetry,15,5,去食琅玕英,去食琅玕英,5,食琅玕,leishu_3gram,32678,0.743012,二十九,鳳,二,,食琅玕,靈鳳振羽儀，戢景西海濱。朝食琅玕實，夕飲玉池津。,靈鳳振羽儀，戢景西海濱。朝食琅玕實，夕飲玉池津。,出处原文,weighted_channels,1
2713,poem_from_line,11849,11854,153,顾况,顾况,上湖至破山赠文周萧元植,Ethan-do0707/tang_poetry,0,5,一别二十年,一别二十年,5,二十年,leishu_3gram,7490,0.655338,六,婚姻,二,,二十,女二十而嫁，,女二十而嫁，,出处原文,weighted_channels,0
2714,poem_from_line,11852,11857,153,顾况,顾况,酬本部韦左司,Ethan-do0707/tang_poetry,2,5,况与二三子,况与二三子,5,二三子,leishu_3gram,8444,0.634354,六,兄弟,二十二,患難,二子同舟,思伋夀也。二子爭相為死，衛人嘉之，而作是詩。,思伋夀也。二子爭相為死，衛人嘉之，而作是詩。,解释文意,weighted_channels,0
2715,poem_from_line,11857,11862,153,顾况,顾况,赠别崔十三长官,Ethan-do0707/tang_poetry,10,5,相识三十年,相识三十年,5,三十年,leishu_3gram,5518,0.733409,四,裘,二,儉敝,三十年,晏子一狐裘三十年，晏子焉知禮？言太儉也。,晏子一狐裘三十年，晏子焉知禮？言太儉也。,出处原文；解释文意,weighted_channels,0
2716,poem_from_line,11858,11863,153,顾况,顾况,哭从兄苌,Ethan-do0707/tang_poetry,12,5,立身有高节,立身有高节,5,立身有,leishu_3gram,10754,0.722501,八 （凡七十九門 內二十六門附）,忠,十五,,臨大節而不可奪,君子也。,君子也。,解释文意,weighted_channels,0
2717,poem_from_line,11860,11865,153,顾况,顾况,归阳萧寺有丁行者能修无生忍担水施僧况归命稽首作诗,Ethan-do0707/tang_poetry,38,5,譬如一明珠,譬如一明珠,5,一明珠,leishu_3gram,9010,0.722293,七,美丈夫,一,,明珠,,,,weighted_channels_untyped_fallback,0
2718,poem_from_line,11861,11866,153,顾况,顾况,大茅岭东新居忆亡子从真,Ethan-do0707/tang_poetry,10,5,其夭非不幸,其夭非不幸,5,非不幸,leishu_3gram,24049,0.695817,十九,死,十四,短命,不幸,有顏回者，不幸短命。,有顏回者，不幸短命。,出处原文,weighted_channels,0
2719,poem_from_line,11862,11867,153,顾况,顾况,乌啼曲二首,Ethan-do0707/tang_poetry,4,5,此是天上老鸦鸣,此是天上老鸦鸣,7,此是天,leishu_3gram,1220,0.590759,一,火,二十四,火災,鳥鳴,或叫宋太廟曰：「譆譆出出，鳥鳴于亳社。如曰譆譆。」,或叫宋太廟曰：「譆譆出出，鳥鳴于亳社。如曰譆譆。」,出处原文,weighted_channels,0
2720,poem_from_line,11868,11873,153,顾况,顾况,梁广画花歌,Ethan-do0707/tang_poetry,0,5,王母欲过刘彻家,王母欲过刘彻家,7,王母欲,leishu_3gram,14935,0.66258,十一,御游,九,,瑶池舉觴,漢武之宴王母,漢武之宴王母,补足下文,headword_note_combined,0
2721,poem_from_line,11870,11875,153,顾况,顾况,行路难三首,Ethan-do0707/tang_poetry,28,5,变作北邙山上尘,变作北邙山上尘,7,北邙山,leishu_3gram,9602,0.66593,七,貧,十一,衣,風塵化緇,《古詩》：京洛多風廛，素衣化為緇。,《古詩》：京洛多風廛，素衣化為緇。,出处典籍；出处原文,weighted_channels_with_book_title_stats,0
2722,poem_from_line,11876,11881,153,顾况,顾况,悲歌六（一作攀龙引）,Ethan-do0707/tang_poetry,2,7,周流三十六洞天,周流三十六洞天,7,三十六,leishu_3gram,2628,0.715664,二,洞,三十二,,三十六,《茅君內傳》：大天之內，有玄中之洞三十六所。第一王屋山之洞：周迴萬里，名曰小有清虛之天。第二委羽之洞：周迴萬里，名曰大有空明之天。第三西域土山之谷：周迴三千里，名曰太玄，摠真之天。第四西方玄三山之谷：周迴千里名曰三玄，極真之天。第五青城之洞：周迴三千里，名曰寶仙，九室之天。第六赤城丹山之洞：周迴三百里，名曰上酒平之天。第七羅浮山之洞：周五百里，名曰朱明，曜真之天。第八曲向山之洞：周一百五十里，名曰金壇華陽之天。第九林屋山之洞：周四百里，名曰左神幽墟之天。第十括蒼之洞：周迴三百里，名曰成德隱玄之天。凡此十洞，皆仙人靈真之陰天，內宮也，其八海之中，崑崙、蓬萊、方丈、瀛洲、滄波、白山，八停之神山，山皆有洞宮，或有方千里、五百里，非名小天之例，不在三十六天之洞數也。五嶽及名山洞室，或三十里、二十里、十里，難並合神仙之言，又非小天之數，嶽洞萬里，其岱宗山之洞，周三千里，名曰三宮空洞之天。羅酆山之洞：周一萬五千里，名曰北帝死生之天，皆死神所治五帝之官考，謫之府也。鬼神所冶，又有二十八小洞，天之陰宮，或地官所在者，不能一一記其洞山之名，略摽其大者耳。其餘有六洞：天陰宮山，皆夷狄異類，鬼所不治，犬戎鳥獸蠻裸，夷之種也。匈奴之天下：北戎之善山，南越之拘屢是也。句曲山洞宮之中：本有仙人郭四，朝者治其宮，亦司三官。領羅酆師。晨候四朝，燕人也。兄弟四人得道，四朝是長兄也。,《茅君內傳》：大天之內，有玄中之洞三十六所。第一王屋山之洞：周迴萬里，名曰小有清虛之天。第二委羽之洞：周迴萬里，名曰大有空明之天。第三西域土山之谷：周迴三千里，名曰太玄，摠真之天。第四西方玄三山之谷：周迴千里名曰三玄，極真之天。第五青城之洞：周迴三千里，名曰寶仙，九室之天。第六赤城丹山之洞：周迴三百里，名曰上酒平之天。第七羅浮山之洞：周五百里，名曰朱明，曜真之天。第八曲向山之洞：周一百五十里，名曰金壇華陽之天。第九林屋山之洞：周四百里，名曰左神幽墟之天。第十括蒼之洞：周迴三百里，名曰成德隱玄之天。凡此十洞，皆仙人靈真之陰天，內宮也，其八海之中，崑崙、蓬萊、方丈、瀛洲、滄波、白山，八停之神山，山皆有洞宮，或有方千里、五百里，非名小天之例，不在三十六天之洞數也。五嶽及名山洞室，或三十里、二十里、十里，難並合神仙之言，又非小天之數，嶽洞萬里，其岱宗山之洞，周三千里，名曰三宮空洞之天。羅酆山之洞：周一萬五千里，名曰北帝死生之天，皆死神所治五帝之官考，謫之府也。鬼神所冶，又有二十八小洞，天之陰宮，或地官所在者，不能一一記其洞山之名，略摽其大者耳。其餘有六洞：天陰宮山，皆夷狄異類，鬼所不治，犬戎鳥獸蠻裸，夷之種也。匈奴之天下：北戎之善山，南越之拘屢是也。句曲山洞宮之中：本有仙人郭四，朝者治其宮，亦司三官。領羅酆師。晨候四朝，燕人也。兄弟四人得道，四朝是長兄也。,出处典籍；出处原文；解释文意,weighted_channels_with_book_title_stats,0
