作者规范,作者,total_poem_count,total_line_count,matched_poem_count,candidate_line_count,candidate_line_rate,line_high_poem_count,line_high_poem_rate,poem_high_count,poem_high_rate,line_high_count,line_high_rate,line_high_within_candidate_rate,poem_best_mean,poem_best_median,poem_best_max,line_best_mean,line_best_median,line_best_max,poet_id_count,poem_high_within_matched_rate
许浑,许浑,507,4218,70,75,0.017780938833570414,4,0.007889546351084813,3,0.005917159763313609,4,0.000948316737790422,0.05333333333333334,0.6404919,0.63417196,0.815972,0.6397847,0.631827,0.815972,1.0,0.04285714285714286
薛能,薛能,271,2731,43,47,0.01720981325521787,4,0.014760147601476014,1,0.0036900369003690036,4,0.0014646649578908824,0.0851063829787234,0.64145887,0.638854,0.801118,0.63386697,0.632897,0.801118,1.0,0.023255813953488372
赵光逢,赵光逢,4,48,4,5,0.10416666666666667,3,0.75,3,0.75,4,0.08333333333333333,0.8,0.8127605,0.842161,0.869655,0.798562,0.814667,0.869655,1.0,0.75
萧颖士,萧颖士,19,466,5,10,0.02145922746781116,3,0.15789473684210525,3,0.15789473684210525,4,0.008583690987124463,0.4,0.73018277,0.776433,0.79934,0.7231603,0.73721254,0.79934,1.0,0.6
邵谒,邵谒,33,354,14,25,0.07062146892655367,3,0.09090909090909091,3,0.09090909090909091,4,0.011299435028248588,0.16,0.7103764,0.704113,0.832851,0.6884268,0.686675,0.832851,1.0,0.21428571428571427
吕温,吕温,104,902,28,32,0.03547671840354767,3,0.028846153846153848,2,0.019230769230769232,4,0.004434589800443459,0.125,0.6700223,0.671813,0.809515,0.6731225,0.67567754,0.809515,1.0,0.07142857142857142
张衮,张衮,7,40,2,4,0.1,2,0.2857142857142857,2,0.2857142857142857,4,0.1,1.0,0.977369,0.977369,0.977369,0.8935405,0.8935405,0.977369,1.0,1.0
裴潾,裴潾,2,146,1,7,0.04794520547945205,1,0.5,1,0.5,4,0.0273972602739726,0.5714285714285714,0.975002,0.975002,0.975002,0.7678987,0.768773,0.975002,1.0,1.0
陶翰,陶翰,18,284,4,6,0.02112676056338028,3,0.16666666666666666,3,0.16666666666666666,3,0.01056338028169014,0.5,0.76260674,0.75940645,0.799606,0.74457866,0.7448565,0.799606,1.0,0.75
刘复,刘复,16,185,6,9,0.04864864864864865,3,0.1875,3,0.1875,3,0.016216216216216217,0.3333333333333333,0.7482005,0.732219,0.869222,0.7233893,0.69735,0.869222,1.0,0.5
魏徵,魏徵,36,304,8,9,0.029605263157894735,3,0.08333333333333333,3,0.08333333333333333,3,0.009868421052631578,0.3333333333333333,0.7073947,0.7289135,0.782102,0.70072365,0.726092,0.782102,1.0,0.375
崔融,崔融1,19,252,9,11,0.04365079365079365,3,0.15789473684210525,3,0.15789473684210525,3,0.011904761904761904,0.2727272727272727,0.69786114,0.678782,0.820234,0.68387455,0.662832,0.820234,1.0,0.3333333333333333
曹邺,曹邺,106,1020,37,51,0.05,3,0.02830188679245283,3,0.02830188679245283,3,0.0029411764705882353,0.058823529411764705,0.68130666,0.658961,0.910702,0.67458665,0.659794,0.910702,1.0,0.08108108108108109
独孤及,独孤及,82,1196,20,30,0.02508361204013378,3,0.036585365853658534,2,0.024390243902439025,3,0.002508361204013378,0.1,0.6881227,0.6846385,0.841508,0.6702542,0.651157,0.841508,1.0,0.1
李山甫,李山甫,78,754,16,20,0.026525198938992044,3,0.038461538461538464,2,0.02564102564102564,3,0.003978779840848806,0.15,0.66603696,0.65283096,0.771524,0.6640551,0.65410304,0.771524,1.0,0.125
李中,李中,287,2336,30,30,0.012842465753424657,3,0.010452961672473868,3,0.010452961672473868,3,0.0012842465753424657,0.1,0.65416205,0.64827,0.775488,0.65416205,0.64827,0.775488,1.0,0.1
张蠙,张蠙,102,764,20,22,0.028795811518324606,3,0.029411764705882353,3,0.029411764705882353,3,0.003926701570680628,0.13636363636363635,0.65439373,0.6481685,0.802154,0.6528221,0.6481685,0.802154,1.0,0.15
卢纶,卢纶,322,3177,48,53,0.01668240478438779,3,0.009316770186335404,2,0.006211180124223602,3,0.0009442870632672333,0.05660377358490566,0.64766324,0.6448165,0.781432,0.6485668,0.644874,0.781432,1.0,0.041666666666666664
贺知章,贺知章,21,187,5,10,0.053475935828877004,2,0.09523809523809523,2,0.09523809523809523,3,0.016042780748663103,0.3,0.75642025,0.711784,0.91163,0.7086008,0.68782055,0.91163,1.0,0.4
窦庠,窦庠,20,251,6,14,0.055776892430278883,2,0.1,2,0.1,3,0.01195219123505976,0.21428571428571427,0.70439416,0.679554,0.831326,0.65867776,0.637688,0.831326,1.0,0.3333333333333333
元希声,元希声,1,62,1,4,0.06451612903225806,1,1.0,1,1.0,3,0.04838709677419355,0.75,0.961085,0.961085,0.961085,0.82798225,0.82927597,0.961085,1.0,1.0
卢肇,卢肇,29,283,4,6,0.02120141342756184,1,0.034482758620689655,1,0.034482758620689655,3,0.01060070671378092,0.5,0.71002424,0.645943,0.950043,0.7261882,0.69814146,0.950043,1.0,0.25
归登,归登,2,16,2,2,0.125,2,1.0,2,1.0,2,0.125,1.0,0.972149,0.972149,0.972149,0.972149,0.972149,0.972149,1.0,1.0
王晙,王晙,2,16,2,2,0.125,2,1.0,2,1.0,2,0.125,1.0,0.97074,0.97074,0.97074,0.97074,0.97074,0.97074,1.0,1.0
崔玄童,崔玄童,2,16,2,2,0.125,2,1.0,2,1.0,2,0.125,1.0,0.837281,0.837281,0.837281,0.837281,0.837281,0.837281,1.0,1.0
常理,常理,3,38,2,2,0.05263157894736842,2,0.6666666666666666,2,0.6666666666666666,2,0.05263157894736842,1.0,0.775562,0.775562,0.775562,0.775562,0.775562,0.775562,1.0,1.0
裴交泰,裴交泰,2,8,2,2,0.25,2,1.0,2,1.0,2,0.25,1.0,0.755936,0.755936,0.755936,0.755936,0.755936,0.755936,1.0,1.0
贺兰进明,贺兰进明,3,100,2,9,0.09,2,0.6666666666666666,2,0.6666666666666666,2,0.02,0.2222222222222222,0.788896,0.788896,0.802245,0.73137885,0.72604,0.802245,1.0,1.0
张柬之,张柬之,6,66,3,3,0.045454545454545456,2,0.3333333333333333,2,0.3333333333333333,2,0.030303030303030304,0.6666666666666666,0.7218854,0.759752,0.759752,0.7218854,0.759752,0.759752,1.0,0.6666666666666666
