unit_id,granularity,poem_id,卷,集类,集类号,诗类,题目,小序,组诗题,source_indices,reconstruction_mode,编号,作年,poem_source,注释引书_归一书名,初学记艺文类聚共同典源_归一书名,初学记艺文类聚共同典源_数量,是否涉及初学记艺文类聚共同典源,引文片段级共同典源_归一书名,引文片段级共同典源_数量,是否涉及引文片段级共同典源,verse_count,line_count,text,embedding_text,embedding_chars
1173,poem,1173,卷十八,,,雜律詩,商山路有感,,,1173,revised_jsonl_direct,1174,820,revised_jsonl,谱；笺；登商山最高顶,,0,False,,0,False,1,4,"萬里路長在
六年身始歸
所經多舊館
太半主人非","商山路有感萬里路長在
六年身始歸
所經多舊館
太半主人非",28
1174,poem,1174,卷十八,,,雜律詩,商山路驛桐樹昔與微之前後題名處,,,1174,revised_jsonl_direct,1175,820,revised_jsonl,笺；桐树馆重题；送好法师归江南,,0,False,,0,False,1,4,"與君前後多遷謫
五度經過此路隅
笑問中庭老桐樹
這迴歸去免來無","商山路驛桐樹昔與微之前後題名處與君前後多遷謫
五度經過此路隅
笑問中庭老桐樹
這迴歸去免來無",46
1175,poem,1175,卷十八,,,雜律詩,惻惻吟,,,1175,revised_jsonl_direct,1176,820,revised_jsonl,笺；左传；岁日见新历因寄都官裴郎中,左传,1,True,,0,False,1,8,"惻惻復惻惻
逐臣返鄉國
前事難重論
少年不再得
泥塗絳老頭斑白
炎瘴靈均面黎黑
六年不死却歸來
道著姓名人不識","惻惻吟惻惻復惻惻
逐臣返鄉國
前事難重論
少年不再得
泥塗絳老頭斑白
炎瘴靈均面黎黑
六年不死却歸來
道著姓名人不識",58
1176,poem,1176,卷十八,,,雜律詩,德宗皇帝挽歌詞四首其一,,,1176,revised_jsonl_direct,1177,805,revised_jsonl,笺；旧唐书；御制雨后出城观览敕朝臣已下属和；白可球明真斋赞老君词；诗；渭村退居寄礼部崔侍郎翰林钱舍人诗一百韵；草茫茫,诗,1,True,,0,False,1,8,"執象宗玄祖
貽謀啓孝孫
文高柏梁殿
禮薄灞陵原
宮仗辭天闕
朝儀出國門
生成不可報
二十七年恩","德宗皇帝挽歌詞四首其一執象宗玄祖
貽謀啓孝孫
文高柏梁殿
禮薄灞陵原
宮仗辭天闕
朝儀出國門
生成不可報
二十七年恩",58
1177,poem,1177,卷十八,,,雜律詩,德宗皇帝挽歌詞四首其二,,,1177,revised_jsonl_direct,1178,,revised_jsonl,书；礼记；野客丛书；史记；初学记；洞冥记；太平御览；汉宫阙名；晋书,书；礼记；史记；洞冥记；晋书,5,True,,0,False,1,8,"虞帝南巡後
殷宗諒闇中
初辭鑄鼎地
已閉望仙宮
曉落當陵月
秋生滿斾風
前星承帝座
不使北辰空","德宗皇帝挽歌詞四首其二虞帝南巡後
殷宗諒闇中
初辭鑄鼎地
已閉望仙宮
曉落當陵月
秋生滿斾風
前星承帝座
不使北辰空",58
1178,poem,1178,卷十八,,,雜律詩,德宗皇帝挽歌詞四首其三,,,1178,revised_jsonl_direct,1179,,revised_jsonl,唐会要；旧唐书；贞元广利药方；谢赐广利方表；元集要广利方；策林；兴五福销六极；白氏文集,,0,False,,0,False,1,8,"業大承宗祖
功成付子孫
睿文詩播樂
遺訓史標言
節表中和德
方垂廣利恩
懸知千載後
理代數貞元","德宗皇帝挽歌詞四首其三業大承宗祖
功成付子孫
睿文詩播樂
遺訓史標言
節表中和德
方垂廣利恩
懸知千載後
理代數貞元",58
1179,poem,1179,卷十八,,,雜律詩,德宗皇帝挽歌詞四首其四,,,1179,revised_jsonl_direct,1180,,revised_jsonl,礼记；唐会要；礼经；遗诏,礼记,1,True,,0,False,1,8,"夢減三齡壽
哀延七月期
寢園愁望遠
宮仗哭行遲
雲日添寒慘
笳簫向晚悲
因山有遺詔
如葬漢文時","德宗皇帝挽歌詞四首其四夢減三齡壽
哀延七月期
寢園愁望遠
宮仗哭行遲
雲日添寒慘
笳簫向晚悲
因山有遺詔
如葬漢文時",58
1180,poem,1180,卷十八,,,雜律詩,昭德王皇后挽歌詞,,,1180,revised_jsonl_direct,1181,787,revised_jsonl,笺；德宗皇帝挽歌词；旧唐书；诗；续古诗十首；夜哭李夷道；礼记；汉书；元后诔,诗；礼记；汉书,3,True,,0,False,1,8,"仙去逍遥境
詩留窈窕章
春歸金屋少
夜入壽宮長
鳳引曾辭輦
蠶休昔採桑
陰靈何處感
沙麓月無光","昭德王皇后挽歌詞仙去逍遥境
詩留窈窕章
春歸金屋少
夜入壽宮長
鳳引曾辭輦
蠶休昔採桑
陰靈何處感
沙麓月無光",55
1181,poem,1181,卷十八,,,雜律詩,太平樂詞二首其一,,,1181,revised_jsonl_direct,1182,807,revised_jsonl,谱；笺,,0,False,,0,False,1,4,"歲豐仍節儉
時泰更銷兵
聖念長如此
何憂不泰平","太平樂詞二首其一歲豐仍節儉
時泰更銷兵
聖念長如此
何憂不泰平",31
1182,poem,1182,卷十八,,,雜律詩,太平樂詞二首其二,,,1182,revised_jsonl_direct,1183,,revised_jsonl,诗；孔子家语；南风,诗,1,True,,0,False,1,4,"湛露浮堯酒
薰風起舜歌
願同堯舜意
所樂在人和","太平樂詞二首其二湛露浮堯酒
薰風起舜歌
願同堯舜意
所樂在人和",31
