作者规范,作者,样本规模标记,total_poem_count,total_line_count,稳健密度样本,大样本密度样本,candidate_line_count,候选句密度_每千句,matched_poem_count,候选诗密度_每百首,line_p90_count,句级p90互文密度_每千句,line_p95_count,句级p95互文密度_每千句,line_ge08_count,句级0.8互文密度_每千句,poem_p90_count,诗级p90互文密度_每百首,poem_p95_count,诗级p95互文密度_每百首,poem_ge08_count,诗级0.8互文密度_每百首,候选句转p90率,候选句转p95率,候选诗转p90率,候选诗转p95率,line_best_mean,line_best_median,line_best_max,poem_best_mean,poem_best_median,poem_best_max,句级p90密度排名_全体,句级p90密度排名_稳健,句级p95密度排名_稳健,诗级p90密度排名_稳健
崔翘,崔翘,小样本,3,32,False,False,1,31.25,1,33.33333333333333,1,31.25,1,31.25,1,31.25,1,33.33333333333333,1,33.33333333333333,1,33.33333333333333,1.0,1.0,1.0,1.0,0.812034,0.812034,0.812034,0.812034,0.812034,0.812034,48.0,,,
刘太真,刘太真,小样本,3,32,False,False,1,31.25,1,33.33333333333333,1,31.25,1,31.25,0,0.0,1,33.33333333333333,1,33.33333333333333,0,0.0,1.0,1.0,1.0,1.0,0.79526,0.79526,0.79526,0.79526,0.79526,0.79526,48.0,,,
卿云,卿云,小样本,4,32,False,False,1,31.25,1,25.0,1,31.25,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.764269,0.764269,0.764269,0.764269,0.764269,0.764269,48.0,,,
张柬之,张柬之,小样本,6,66,False,False,3,45.45454545454545,3,50.0,2,30.303030303030305,0,0.0,0,0.0,2,33.33333333333333,0,0.0,0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.7218853333333333,0.759752,0.759752,0.7218853333333333,0.759752,0.759752,51.0,,,
莫宣卿,莫宣卿,小样本,4,34,False,False,1,29.41176470588235,1,25.0,1,29.41176470588235,1,29.41176470588235,1,29.41176470588235,1,25.0,1,25.0,1,25.0,1.0,1.0,1.0,1.0,0.821402,0.821402,0.821402,0.821402,0.821402,0.821402,52.0,,,
王烈,王烈,小样本,4,34,False,False,3,88.23529411764706,1,25.0,1,29.41176470588235,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0.3333333333333333,0.0,1.0,0.0,0.7400683333333333,0.73269,0.755962,0.755962,0.755962,0.755962,52.0,,,
裴潾,裴潾,小样本,2,146,False,False,7,47.94520547945205,1,50.0,4,27.397260273972602,2,13.698630136986301,1,6.8493150684931505,1,50.0,1,50.0,1,50.0,0.5714285714285714,0.2857142857142857,1.0,1.0,0.7678987142857142,0.768773,0.975002,0.975002,0.975002,0.975002,54.0,,,
孙思邈,孙思邈,小样本,1,38,False,False,1,26.31578947368421,1,100.0,1,26.31578947368421,1,26.31578947368421,1,26.31578947368421,1,100.0,1,100.0,1,100.0,1.0,1.0,1.0,1.0,0.909358,0.909358,0.909358,0.909358,0.909358,0.909358,55.0,,,
李瀚,李瀚2,小样本,2,600,False,False,25,41.666666666666664,1,50.0,15,25.0,13,21.666666666666668,7,11.666666666666668,1,50.0,1,50.0,1,50.0,0.6,0.52,1.0,1.0,0.75614384,0.772671,0.921941,0.921941,0.921941,0.921941,56.0,,,
郭元振,郭元振,小样本,5,40,False,False,1,25.0,1,20.0,1,25.0,1,25.0,0,0.0,1,20.0,1,20.0,0,0.0,1.0,1.0,1.0,1.0,0.784792,0.784792,0.784792,0.784792,0.784792,0.784792,56.0,,,
修雅,修雅,小样本,1,81,False,False,8,98.76543209876543,1,100.0,2,24.691358024691358,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0.25,0.0,1.0,0.0,0.6955905,0.6875905,0.758138,0.758138,0.758138,0.758138,58.0,,,
程长文,程长文,小样本,3,42,False,False,2,47.61904761904761,1,33.33333333333333,1,23.809523809523807,1,23.809523809523807,1,23.809523809523807,1,33.33333333333333,1,33.33333333333333,1,33.33333333333333,0.5,0.5,1.0,1.0,0.693363,0.693363,0.801931,0.801931,0.801931,0.801931,59.0,,,
王丘,王丘,小样本,3,46,False,False,2,43.47826086956522,2,66.66666666666666,1,21.73913043478261,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.5,0.0,0.0,0.0,0.6936855,0.6936855,0.742746,0.6936855,0.6936855,0.742746,60.0,,,
张绍,张绍,小样本,1,96,False,False,4,41.666666666666664,1,100.0,2,20.833333333333332,1,10.416666666666666,1,10.416666666666666,1,100.0,1,100.0,1,100.0,0.5,0.25,1.0,1.0,0.7273995,0.7189305,0.821273,0.821273,0.821273,0.821273,61.0,,,
李舒,李舒,小样本,6,48,False,False,2,41.666666666666664,1,16.666666666666664,1,20.833333333333332,1,20.833333333333332,1,20.833333333333332,1,16.666666666666664,1,16.666666666666664,1,16.666666666666664,0.5,0.5,1.0,1.0,0.715938,0.715938,0.817422,0.817422,0.817422,0.817422,61.0,,,
张为,张为,小样本,4,49,False,False,2,40.816326530612244,2,50.0,1,20.408163265306122,1,20.408163265306122,0,0.0,1,25.0,0,0.0,0,0.0,0.5,0.5,0.5,0.0,0.711004,0.711004,0.778845,0.711004,0.711004,0.778845,64.0,,,
临淄县主,临淄县主,小样本,1,99,False,False,4,40.40404040404041,1,100.0,2,20.202020202020204,2,20.202020202020204,1,10.101010101010102,1,100.0,1,100.0,1,100.0,0.5,0.5,1.0,1.0,0.767625,0.7382500000000001,0.917582,0.917582,0.917582,0.917582,65.0,,,
贺兰进明,贺兰进明,小样本,3,100,False,False,9,90.0,2,66.66666666666666,2,20.0,2,20.0,1,10.0,2,66.66666666666666,1,33.33333333333333,1,33.33333333333333,0.2222222222222222,0.2222222222222222,1.0,0.5,0.7313788888888888,0.72604,0.802245,0.788896,0.788896,0.802245,66.0,,,
宋华,宋华,小样本,1,50,False,False,4,80.0,1,100.0,1,20.0,1,20.0,0,0.0,1,100.0,1,100.0,0,0.0,0.25,0.25,1.0,1.0,0.68684675,0.663276,0.791688,0.791688,0.791688,0.791688,66.0,,,
张易之,张易之,小样本,5,52,False,False,1,19.230769230769234,1,20.0,1,19.230769230769234,1,19.230769230769234,0,0.0,1,20.0,1,20.0,0,0.0,1.0,1.0,1.0,1.0,0.78459,0.78459,0.78459,0.78459,0.78459,0.78459,69.0,,,
