作者规范,作者,样本规模标记,total_poem_count,total_line_count,稳健密度样本,大样本密度样本,candidate_line_count,候选句密度_每千句,matched_poem_count,候选诗密度_每百首,line_p90_count,句级p90互文密度_每千句,line_p95_count,句级p95互文密度_每千句,line_ge08_count,句级0.8互文密度_每千句,poem_p90_count,诗级p90互文密度_每百首,poem_p95_count,诗级p95互文密度_每百首,poem_ge08_count,诗级0.8互文密度_每百首,候选句转p90率,候选句转p95率,候选诗转p90率,候选诗转p95率,line_best_mean,line_best_median,line_best_max,poem_best_mean,poem_best_median,poem_best_max,句级p90密度排名_全体,句级p90密度排名_稳健,句级p95密度排名_稳健,诗级p90密度排名_稳健
王昌龄,王昌龄,大样本,170,1759,True,True,37,21.034678794769754,29,17.058823529411764,4,2.2740193291642976,4,2.2740193291642976,2,1.1370096645821488,4,2.3529411764705883,3,1.7647058823529411,2,1.1764705882352942,0.10810810810810811,0.10810810810810811,0.13793103448275862,0.10344827586206896,0.666589027027027,0.667067,0.819588,0.6730131724137931,0.667067,0.819588,192.0,103.0,48.0,87.0
宋之问,宋之问,大样本,192,2213,True,True,45,20.334387708992317,42,21.875,5,2.2593764121102575,5,2.2593764121102575,2,0.9037505648441031,5,2.604166666666667,5,2.604166666666667,2,1.0416666666666665,0.1111111111111111,0.1111111111111111,0.11904761904761904,0.11904761904761904,0.6556177777777777,0.640293,0.871035,0.6573174047619047,0.641821,0.871035,195.0,105.0,50.0,78.0
贾岛,贾岛,大样本,405,3417,True,True,70,20.485806262803628,62,15.308641975308642,7,2.048580626280363,3,0.8779631255487269,2,0.585308750365818,5,1.2345679012345678,3,0.7407407407407408,2,0.49382716049382713,0.1,0.04285714285714286,0.08064516129032258,0.04838709677419355,0.6570979428571428,0.646563,0.83137,0.6621686935483871,0.6475975,0.83137,200.0,110.0,93.0,114.0
元稹,元稹,大样本,593,11812,True,True,325,27.514392143582796,166,27.99325463743676,24,2.031832035218422,12,1.015916017609211,4,0.3386386725364037,20,3.372681281618887,10,1.6863406408094435,4,0.6745362563237773,0.07384615384615385,0.036923076923076927,0.12048192771084337,0.060240963855421686,0.6550502215384616,0.656611,0.859346,0.6699185903614457,0.6709149999999999,0.859346,201.0,111.0,88.0,56.0
王建,王建,大样本,395,4194,True,True,132,31.473533619456365,98,24.81012658227848,8,1.9074868860276586,1,0.23843586075345732,0,0.0,5,1.2658227848101267,1,0.25316455696202533,0,0.0,0.06060606060606061,0.007575757575757576,0.05102040816326531,0.01020408163265306,0.6457703787878788,0.6495005,0.785383,0.651868,0.6527700000000001,0.785383,203.0,113.0,119.0,113.0
章孝标,章孝标,大样本,68,530,True,True,10,18.867924528301884,10,14.705882352941178,1,1.8867924528301887,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.1,0.0,0.0,0.0,0.6612562000000001,0.6531115000000001,0.750107,0.6612562000000001,0.6531115000000001,0.750107,204.0,114.0,122.0,155.0
郎士元,郎士元,大样本,72,539,True,True,9,16.697588126159555,8,11.11111111111111,1,1.8552875695732838,1,1.8552875695732838,0,0.0,1,1.3888888888888888,1,1.3888888888888888,0,0.0,0.1111111111111111,0.1111111111111111,0.125,0.125,0.631064,0.615435,0.792346,0.639875,0.6334995,0.792346,205.0,115.0,61.0,111.0
吴融,吴融,大样本,284,2709,True,True,76,28.0546327057955,53,18.661971830985916,5,1.8456995201181248,4,1.4765596160944998,2,0.7382798080472499,3,1.056338028169014,2,0.7042253521126761,2,0.7042253521126761,0.06578947368421052,0.05263157894736842,0.05660377358490566,0.03773584905660377,0.6592024342105263,0.662553,0.91502,0.6567220377358491,0.654155,0.91502,206.0,116.0,69.0,119.0
李群玉,李群玉,大样本,238,2234,True,True,41,18.352730528200535,33,13.865546218487395,4,1.7905102954341987,1,0.4476275738585497,1,0.4476275738585497,4,1.680672268907563,1,0.42016806722689076,1,0.42016806722689076,0.0975609756097561,0.024390243902439025,0.12121212121212122,0.030303030303030304,0.6477214634146341,0.64107,0.80871,0.6538555757575758,0.644197,0.80871,207.0,117.0,108.0,103.0
戎昱,戎昱,大样本,118,1127,True,True,30,26.619343389529725,22,18.64406779661017,2,1.7746228926353151,0,0.0,0,0.0,2,1.694915254237288,0,0.0,0,0.0,0.06666666666666667,0.0,0.09090909090909091,0.0,0.6330358,0.618151,0.755864,0.6346767727272727,0.6360034999999999,0.755864,208.0,118.0,122.0,102.0
王贞白,王贞白,大样本,67,589,True,True,15,25.466893039049236,12,17.91044776119403,1,1.697792869269949,0,0.0,0,0.0,1,1.4925373134328357,0,0.0,0,0.0,0.06666666666666667,0.0,0.08333333333333333,0.0,0.6563946,0.668734,0.772105,0.6588289166666667,0.6717075,0.772105,209.0,119.0,122.0,108.0
杨衡,杨衡,大样本,61,596,True,True,9,15.100671140939598,9,14.754098360655737,1,1.6778523489932886,1,1.6778523489932886,1,1.6778523489932886,1,1.639344262295082,1,1.639344262295082,1,1.639344262295082,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6667776666666667,0.642385,0.822758,0.6667776666666667,0.642385,0.822758,210.0,120.0,65.0,104.0
刘长卿,刘长卿,大样本,508,5373,True,True,97,18.05322910850549,88,17.322834645669293,9,1.6750418760469012,7,1.3028103480364788,5,0.9305788200260562,8,1.574803149606299,6,1.1811023622047243,5,0.984251968503937,0.09278350515463918,0.07216494845360824,0.09090909090909091,0.06818181818181818,0.6540898247422681,0.650983,0.836255,0.6581590909090909,0.653892,0.836255,211.0,121.0,75.0,107.0
李贺,李贺,大样本,234,2987,True,True,85,28.45664546367593,64,27.350427350427353,5,1.6739203213927016,2,0.6695681285570807,0,0.0,5,2.1367521367521367,2,0.8547008547008548,0,0.0,0.058823529411764705,0.023529411764705882,0.078125,0.03125,0.6394562117647059,0.640675,0.791538,0.64328128125,0.640679,0.791538,212.0,122.0,101.0,92.0
杜荀鹤,杜荀鹤,大样本,325,2412,True,True,62,25.70480928689884,59,18.153846153846153,4,1.658374792703151,2,0.8291873963515755,2,0.8291873963515755,3,0.9230769230769231,2,0.6153846153846154,2,0.6153846153846154,0.06451612903225806,0.03225806451612903,0.05084745762711865,0.03389830508474576,0.6577116129032258,0.658979,0.900229,0.660329593220339,0.659703,0.900229,213.0,123.0,95.0,121.0
韦应物,韦应物,大样本,551,6307,True,True,137,21.721896305692088,97,17.604355716878402,10,1.5855398763278896,4,0.6342159505311559,2,0.31710797526557793,7,1.2704174228675136,3,0.5444646098003629,2,0.3629764065335753,0.072992700729927,0.029197080291970802,0.07216494845360824,0.030927835051546393,0.6626145985401459,0.66405,0.817344,0.6766026391752576,0.67768,0.817344,214.0,124.0,102.0,112.0
刘得仁,刘得仁,大样本,139,1268,True,True,14,11.041009463722398,14,10.071942446043165,2,1.5772870662460567,0,0.0,0,0.0,1,0.7194244604316548,0,0.0,0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.6608539285714287,0.6935819999999999,0.764991,0.6608539285714287,0.6935819999999999,0.764991,215.0,125.0,122.0,133.0
许棠,许棠,大样本,138,1309,True,True,12,9.167303284950345,11,7.971014492753622,2,1.5278838808250572,1,0.7639419404125286,1,0.7639419404125286,1,0.7246376811594203,1,0.7246376811594203,1,0.7246376811594203,0.16666666666666666,0.08333333333333333,0.09090909090909091,0.09090909090909091,0.67908975,0.68024,0.803451,0.6872761818181818,0.691747,0.803451,216.0,126.0,97.0,131.0
朱庆馀,朱庆馀,大样本,168,1314,True,True,16,12.1765601217656,16,9.523809523809524,2,1.5220700152207,1,0.76103500761035,0,0.0,1,0.5952380952380952,1,0.5952380952380952,0,0.0,0.125,0.0625,0.0625,0.0625,0.6636724375,0.6637139999999999,0.792311,0.6636724375,0.6637139999999999,0.792311,217.0,127.0,98.0,139.0
常建,常建,大样本,52,660,True,True,17,25.757575757575758,16,30.76923076923077,1,1.5151515151515151,0,0.0,0,0.0,1,1.9230769230769231,0,0.0,0,0.0,0.058823529411764705,0.0,0.0625,0.0,0.6521954705882352,0.63134,0.768863,0.6535575,0.6316565000000001,0.768863,218.0,128.0,122.0,97.0
薛能,薛能,大样本,271,2731,True,True,47,17.209813255217867,43,15.867158671586715,4,1.4646649578908824,1,0.3661662394727206,1,0.3661662394727206,1,0.36900369003690037,1,0.36900369003690037,1,0.36900369003690037,0.0851063829787234,0.02127659574468085,0.023255813953488372,0.023255813953488372,0.6338669361702127,0.632897,0.801118,0.6414588604651162,0.638854,0.801118,220.0,130.0,114.0,151.0
胡曾,胡曾,大样本,166,716,True,True,39,54.46927374301676,36,21.686746987951807,1,1.3966480446927374,0,0.0,0,0.0,1,0.6024096385542169,0,0.0,0,0.0,0.02564102564102564,0.0,0.027777777777777776,0.0,0.6387296923076923,0.629961,0.76051,0.6389397222222222,0.6296729999999999,0.76051,221.0,131.0,122.0,138.0
齐己,齐己,大样本,783,6718,True,True,119,17.713605239654658,99,12.643678160919542,9,1.3396844298898483,2,0.29770765108663294,0,0.0,6,0.7662835249042145,0,0.0,0,0.0,0.07563025210084033,0.01680672268907563,0.06060606060606061,0.0,0.6501376302521008,0.646861,0.782247,0.6544864545454545,0.65137,0.782247,222.0,132.0,117.0,129.0
罗隐,罗隐,大样本,470,3754,True,True,93,24.773574853489613,84,17.872340425531917,5,1.3319126265316996,1,0.2663825253063399,1,0.2663825253063399,4,0.851063829787234,1,0.2127659574468085,1,0.2127659574468085,0.053763440860215055,0.010752688172043012,0.047619047619047616,0.011904761904761904,0.6459693978494624,0.639678,0.81413,0.649090511904762,0.640324,0.81413,223.0,133.0,118.0,125.0
