作者规范,六帖部类,高值句数,最高相似度,平均相似度,代表诗题,代表诗句,代表六帖词条,代表六帖注文,代表相似度,total_line_count,line_p90_count,句级p90互文密度_每千句,样本规模标记,部类高值密度_每千句,部类占诗人高值比例,诗人内部类高值排名
张说,老,1,0.850729,0.850729,岳州夜坐,五十知天命,孔子五十而知天命。,,0.850729,3440,10,2.9069767441860463,大样本,0.29069767441860467,0.1,3.0
张说,恭敬,1,0.838006,0.838006,唐享太庙乐章。太和,在貌思恭,事思敬,貌思恭。,0.838006,3440,10,2.9069767441860463,大样本,0.29069767441860467,0.1,4.0
张说,貧,1,0.837708,0.837708,古泉驿,乐亦在其中,樂在其中矣,飲水，曲肱而枕之，樂亦在其中矣！,0.837708,3440,10,2.9069767441860463,大样本,0.29069767441860467,0.1,5.0
张说,舉選,1,0.784194,0.784194,奉和圣制赐诸州刺史应制以题坐右,朝廷多秀士,進士秀才。,考課令進士試時務䇿五條帖大經通四其䇿文辭順序義理愜當并帖經文過者為通帖策全通為甲第諸秀才試方䇿五條文理俱髙者為上上文髙理平理高文平為上中云云,0.784194,3440,10,2.9069767441860463,大样本,0.29069767441860467,0.1,6.0
张说,天子孝,1,0.748509,0.748509,唐享太庙乐章。肃和,天子享孝,孝理天下,先王之以孝治天下也。故得萬國之歡心，是以天下和平，災害不生。,0.748509,3440,10,2.9069767441860463,大样本,0.29069767441860467,0.1,7.0
张说,三公,1,0.742854,0.742854,洛桥北亭诏饯诸刺史,三公不远求,三公,,0.742854,3440,10,2.9069767441860463,大样本,0.29069767441860467,0.1,8.0
张说,怨棄,1,0.742241,0.742241,右侍郎集贤院学士徐公挽词二首,岂忘平生眷,久要不忘平生,,0.742241,3440,10,2.9069767441860463,大样本,0.29069767441860467,0.1,9.0
权德舆,桂,1,0.835503,0.835503,古兴,月中有桂树,月中有仙桂樹一枝,晉郤詵對武帝曰：「臣對策為天下第一，猶桂林一枝也。,0.835503,3457,13,3.7604859704946487,大样本,0.2892681515765114,0.07692307692307693,1.0
权德舆,宅,1,0.815955,0.815955,奉和新卜城南郊居得与卫右丞邻舍，因赋诗寄赠,盛德必有邻,必有鄰,《論語》：德不孤，必有鄰。,0.815955,3457,13,3.7604859704946487,大样本,0.2892681515765114,0.07692307692307693,2.0
权德舆,司天,1,0.796954,0.796954,唐开州文编远寄新赋累惠良药咏叹仰佩…聊书还答,君为太史氏,太史,《周官》太史掌建邦之六典。,0.796954,3457,13,3.7604859704946487,大样本,0.2892681515765114,0.07692307692307693,3.0
权德舆,工部,1,0.793601,0.793601,送张曹长工部大夫奉使西番,奉使小司空,侍郎,小司空,0.793601,3457,13,3.7604859704946487,大样本,0.2892681515765114,0.07692307692307693,4.0
权德舆,《詩》,1,0.787714,0.787714,奉酬从兄南仲见示十九韵,诗成三百篇,刪《詩》為三百篇,,0.787714,3457,13,3.7604859704946487,大样本,0.2892681515765114,0.07692307692307693,5.0
权德舆,樂,1,0.775208,0.775208,奉和圣制丰年多庆九日示怀,乐和天地同,大樂與天地同和。,,0.775208,3457,13,3.7604859704946487,大样本,0.2892681515765114,0.07692307692307693,6.0
权德舆,叛亂,1,0.774808,0.774808,严陵钓台下作,天子不得臣,臣而不臣,,0.774808,3457,13,3.7604859704946487,大样本,0.2892681515765114,0.07692307692307693,7.0
权德舆,喪妻,1,0.763506,0.763506,晚渡扬子江却寄江南亲故,佳人不可望,佳人難再得,荀璨，字奉倩。娶曹洪女卒，歎曰：「佳人難再得。」見上注。,0.763506,3457,13,3.7604859704946487,大样本,0.2892681515765114,0.07692307692307693,8.0
权德舆,地,1,0.748217,0.748217,早夏青龙寺致斋凭眺感物因书十四韵,汉乃一抔土,一抔,漢張釋之曰：「盜長陵一抔土。」抔，音蒲侯反。,0.748217,3457,13,3.7604859704946487,大样本,0.2892681515765114,0.07692307692307693,9.0
权德舆,食,1,0.746311,0.746311,拜昭陵过咸阳墅,人以食为天,食為民天,《文選》,0.746311,3457,13,3.7604859704946487,大样本,0.2892681515765114,0.07692307692307693,10.0
权德舆,鶴,1,0.745393,0.745393,送密秀才吏部驳放后归蜀，应崔大理序,迢迢三千里,千里,,0.745393,3457,13,3.7604859704946487,大样本,0.2892681515765114,0.07692307692307693,11.0
权德舆,冠弁冕,1,0.745132,0.745132,献岁送李十兄赴黔中酒后绝句,异时应戴惠文冠,柱後惠文冠,秦時法官冠張敝弟武為梁相，云當以惠文冠治之。,0.745132,3457,13,3.7604859704946487,大样本,0.2892681515765114,0.07692307692307693,12.0
权德舆,錄事,1,0.743857,0.743857,送岳州温录事赴任,解巾州主簿,州主簿,,0.743857,3457,13,3.7604859704946487,大样本,0.2892681515765114,0.07692307692307693,13.0
高適,案,1,0.872815,0.872815,奉酬睢阳李太守,诗题青玉案,青玉案,《張平子詩》曰：「美人贈我錦繡段，何以報之青玉案。」,0.872815,3550,17,4.788732394366197,大样本,0.28169014084507044,0.058823529411764705,4.0
高適,吏隱,1,0.827856,0.827856,同群公题郑少府田家（此公昔任白马尉，今寄住滑台）,昔为南昌尉,南昌尉,梅福子真為南昌尉，時人謂之神仙之吏。,0.827856,3550,17,4.788732394366197,大样本,0.28169014084507044,0.058823529411764705,5.0
高適,縣令,1,0.814125,0.814125,宓公琴台诗三首,昔人不忍欺,人不忍欺,宓子賤為政，人不忍欺。餘見“彊毅”門注。,0.814125,3550,17,4.788732394366197,大样本,0.28169014084507044,0.058823529411764705,6.0
高適,疾,1,0.811795,0.811795,东平路中遇大水,天灾自古有,天有災癘,,0.811795,3550,17,4.788732394366197,大样本,0.28169014084507044,0.058823529411764705,7.0
高適,兄弟,1,0.80801,0.80801,宋中十首,人皆有兄弟,人兄,教以弟所以敬天下之為人兄也。,0.80801,3550,17,4.788732394366197,大样本,0.28169014084507044,0.058823529411764705,8.0
高適,雨,1,0.789152,0.789152,秦中送李九赴越,愁霖不可向,愁霖,《文選》：愁霖貫秋序。,0.789152,3550,17,4.788732394366197,大样本,0.28169014084507044,0.058823529411764705,9.0
高適,御史大夫,1,0.764564,0.764564,奉酬睢阳李太守,赋得黄金赐,賜金,薛廣德為御史大夫，乞歸。上賜黃金六十斤，安車駟馬。,0.764564,3550,17,4.788732394366197,大样本,0.28169014084507044,0.058823529411764705,10.0
高適,賢婦,1,0.759234,0.759234,过卢明府有赠,以此知其贤,知人,晉王渾妻鍾氏，名琰。有文才淑求賢，夫有兵家子甚俊，欲妻之。令與羣小吏雜處，琰自帷中察之曰：此人才足㧞萃，然地寒夀促不足展其器，遂止其人。數年卒。,0.759234,3550,17,4.788732394366197,大样本,0.28169014084507044,0.058823529411764705,11.0
高適,怒,1,0.752191,0.752191,李云南征蛮诗,圣人赫斯怒,王赫斯怒,,0.752191,3550,17,4.788732394366197,大样本,0.28169014084507044,0.058823529411764705,12.0
高適,夢,1,0.745577,0.745577,赋得还山吟，送沈四山人,梦魂可以相周旋,魂交,《莊子》云：「其夢也。魂交其覺也，形開。」,0.745577,3550,17,4.788732394366197,大样本,0.28169014084507044,0.058823529411764705,13.0
贯休,食,2,0.791159,0.791159,琴曲歌辞。白雪歌,却思食藜藿,藜藿,《七發》曰：予甘藜藿，未暇此食。,0.791159,7120,32,4.49438202247191,大样本,0.2808988764044944,0.0625,1.0
贯休,嗣立,2,0.787329,0.787329,杂曲歌辞。轻薄篇二首,其名不彰,不隕其名,,0.787329,7120,32,4.49438202247191,大样本,0.2808988764044944,0.0625,2.0
贯休,帝德,2,0.77286,0.77286,相和歌辞。胡无人行,天子富有四海,富有天下。,,0.77286,7120,32,4.49438202247191,大样本,0.2808988764044944,0.0625,3.0
贯休,山,2,0.764959,0.756317,闻无相道人顺世五首,去矣不可留,不可久留,《離騷》：山中不可久留。,0.764959,7120,32,4.49438202247191,大样本,0.2808988764044944,0.0625,4.0
贯休,視,2,0.763803,0.7638025,秋晚泊石头驿有寄,所思不可见,目所不見,故若存若亡心所不繋故不生不滅。,0.763803,7120,32,4.49438202247191,大样本,0.2808988764044944,0.0625,5.0
王维,雞,1,0.821402,0.821402,冬日游览,关东出函谷,出函谷,孟嘗君有難，夜半出函谷關。馮煖詐作雞鳴，乃得出。,0.821402,3604,16,4.439511653718091,大样本,0.27746947835738067,0.0625,3.0
王维,丹藥,1,0.800989,0.800989,奉和圣制幸玉真公主山庄因题石壁十韵之作应制,泥灶化丹砂,化丹砂,李少君曰：「祠竈丹砂，可化為黃金。,0.800989,3604,16,4.439511653718091,大样本,0.27746947835738067,0.0625,4.0
王维,視,1,0.781045,0.781045,奉和圣制御春明楼临右相园亭赋乐贤诗应制,褰旒明四目,四目,舜明四目，而天下治。,0.781045,3604,16,4.439511653718091,大样本,0.27746947835738067,0.0625,5.0
王维,冠弁冕,1,0.767875,0.767875,奉和圣制暮春送朝集使归郡应制,衣冠拜冕旒,鷸冠,《傳》曰：「服美不稱，必以惡終。,0.767875,3604,16,4.439511653718091,大样本,0.27746947835738067,0.0625,6.0
王维,縣令,1,0.759321,0.759321,赠房卢氏琯,或可累安邑,累安邑,閔仲叔居安邑，買豬肝食，令乃進豬肝。歎曰：閔仲叔豈以口腹累安邑哉！遂去之。,0.759321,3604,16,4.439511653718091,大样本,0.27746947835738067,0.0625,7.0
王维,仙,1,0.754364,0.754364,赠李颀,几时生羽翼,生羽翼,,0.754364,3604,16,4.439511653718091,大样本,0.27746947835738067,0.0625,8.0
王维,柳,1,0.753817,0.753817,田园乐七首（一作辋川六言，第六首一作皇甫曾诗）,五柳先生对门,五柳先生,《晉書》：陶潛，字淵明。為彭澤令**：宅邊栽五株柳，自號為「五柳先生」。,0.753817,3604,16,4.439511653718091,大样本,0.27746947835738067,0.0625,9.0
王维,河,1,0.751678,0.751678,桃源行（时年十九）,春来遍是桃花水,桃花水,《溝洫志》：河決而桃花水漾溢。注云：三月水漲名。,0.751678,3604,16,4.439511653718091,大样本,0.27746947835738067,0.0625,10.0
王维,衣服,1,0.749326,0.749326,送友人归山歌二首（离骚题作山中人）,君不可兮褰衣,澣衣,《禮》：晏平仲澣衣濯冠以朝，君子以為隘。,0.749326,3604,16,4.439511653718091,大样本,0.27746947835738067,0.0625,11.0
王维,井,1,0.747962,0.747962,林园即事寄舍弟ヨ（次荆州时作）,讵有丹砂井,眢井,廢井也。,0.747962,3604,16,4.439511653718091,大样本,0.27746947835738067,0.0625,12.0
王维,賔館,1,0.747578,0.747578,春过贺遂员外药园,来蒙倒屣迎,倒屣迎賔,王粲仲宣詣蔡邕，邕倒屣迎之，粲年少，容貌短小，既至一座盡驚曰：「王孫有異才，吾不如也。吾家書籍文章盡與之。」,0.747578,3604,16,4.439511653718091,大样本,0.27746947835738067,0.0625,13.0
王维,乳母,1,0.744739,0.744739,送李员外贤郎,知为童子郎,童子何知,《傳》。,0.744739,3604,16,4.439511653718091,大样本,0.27746947835738067,0.0625,14.0
罗隐,嫂叔,1,0.81413,0.81413,蟋蟀诗,不冠不緌,不冠,《後漢》：馬援敬事寡嫂，不冠不入廬。,0.81413,3754,5,1.3319126265316996,大样本,0.2663825253063399,0.2,1.0
罗隐,玉,1,0.768816,0.768816,言,珪玷由来尚可磨,磨玷,白珪之玷，尚可磨。,0.768816,3754,5,1.3319126265316996,大样本,0.2663825253063399,0.2,2.0
罗隐,儒教,1,0.768531,0.768531,代文宣王答,三教之中儒最尊,君子之儒,子謂子夏，曰：「汝為君子儒，無為小人儒。,0.768531,3754,5,1.3319126265316996,大样本,0.2663825253063399,0.2,3.0
罗隐,相思,1,0.754745,0.754745,思故人,故人不可见,我思故人,,0.754745,3754,5,1.3319126265316996,大样本,0.2663825253063399,0.2,4.0
罗隐,遺物,1,0.74173,0.74173,寄易定公乘亿侍郎,昭王有馀烈,墜屨,昭王。,0.74173,3754,5,1.3319126265316996,大样本,0.2663825253063399,0.2,5.0
元稹,相思,3,0.771964,0.7665553,酬乐天赴江州路上见寄三首,一日不得见,一日不見。,如三月兮，如三秋兮。,0.771964,11812,24,2.031832035218422,大样本,0.25397900440230275,0.125,1.0
温庭筠,雪,1,0.871343,0.871343,蕃女怨,飞雪千里,飛雪千里,《楚辭》。,0.871343,3980,2,0.5025125628140704,大样本,0.2512562814070352,0.5,1.0
温庭筠,宰相,1,0.803389,0.803389,中书令裴公挽歌词二首,萧何社稷臣,社稷臣,,0.803389,3980,2,0.5025125628140704,大样本,0.2512562814070352,0.5,2.0
张籍,宰相,1,0.80751,0.80751,送李司空赴镇襄阳,中外兼权社稷臣,社稷臣,,0.80751,4130,11,2.6634382566585955,大样本,0.24213075060532688,0.09090909090909091,2.0
张籍,出征,1,0.800477,0.800477,董公诗,朝廷有大事,君命大事。,大事，謂軍事。,0.800477,4130,11,2.6634382566585955,大样本,0.24213075060532688,0.09090909090909091,3.0
张籍,擇交,1,0.793992,0.793992,祭退之,坐令其子拜,拜其子,《後漢》：侯霸欲友王丹，霸子見丹，下車拜丹，荅拜。霸子曰：「大人方願交歡，奈何？拜小子。丹曰：「君房有是言。」丹未之許也。,0.793992,4130,11,2.6634382566585955,大样本,0.24213075060532688,0.09090909090909091,4.0
张籍,裘,1,0.787438,0.787438,祭退之,到今三十年,三十年,晏子一狐裘三十年，晏子焉知禮？言太儉也。,0.787438,4130,11,2.6634382566585955,大样本,0.24213075060532688,0.09090909090909091,5.0
张籍,七月七日,1,0.779223,0.779223,不食姑（一作赠山中女道士）,要问西王母,西王母,漢武故事，七月七日，上於承華殿，齋正中有一青鳥從西方來，集殿前，上問東方朔，朔曰：「西王母欲來。」有頃，王母至，有二青鳥侍王母傍。,0.779223,4130,11,2.6634382566585955,大样本,0.24213075060532688,0.09090909090909091,6.0
张籍,太子太師太傅太保,1,0.758347,0.758347,祭退之,公为大司成,司成,《禮》曰：樂正司業，父師司成。一有元良萬國以貞。注：貞，正也。司主也，言樂正教以樂，父師教以成。,0.758347,4130,11,2.6634382566585955,大样本,0.24213075060532688,0.09090909090909091,7.0
张籍,隠逸,1,0.758134,0.758134,赠别孟郊,才名振京国,名振京師,漢鄭子真不屈其志，耕於巖谷中，名振京師。,0.758134,4130,11,2.6634382566585955,大样本,0.24213075060532688,0.09090909090909091,8.0
张籍,慎,1,0.753933,0.753933,寄韩愈,君子在其间,君子之道,思其始也。思其終也。,0.753933,4130,11,2.6634382566585955,大样本,0.24213075060532688,0.09090909090909091,9.0
张籍,寒食,1,0.74601,0.74601,寒食,唯有一年寒食日,一月寒食,《後漢》周舉遷并州刺史，太原舊俗，以介子推焚骸一月，斷火舉移書於子推廟。云寒食一月，老小不堪，今則三日而巳。,0.74601,4130,11,2.6634382566585955,大样本,0.24213075060532688,0.09090909090909091,10.0
王建,津渡,1,0.785383,0.785383,相和歌辞。公无渡河,公无渡河公自为,公無渡河,崔豹《古今注》：津吏霍子高見白首，狂夫被髮，提壺亂流而渡，其妻止之，不及，遂溺死。妻乃援箜篌，作《公無渡河》之曲，歌終亦投河而死。,0.785383,4194,8,1.9074868860276586,大样本,0.23843586075345732,0.125,1.0
王建,秋,1,0.770876,0.770876,秋日后（一作新晴后）,立秋日后无多热,立秋日涼風至,七月節也，後五日白露降，後五日寒蟬鳴。,0.770876,4194,8,1.9074868860276586,大样本,0.23843586075345732,0.125,2.0
王建,道路,1,0.770431,0.770431,将归故山留别杜侍御,有路不得行,行不由徑,澹臺滅明，字子羽。,0.770431,4194,8,1.9074868860276586,大样本,0.23843586075345732,0.125,3.0
王建,兄弟,1,0.759467,0.759467,送于丹移家洺州,兄弟相攻研,攻弟,袁譚欲攻弟尚。王脩諫曰：敗亡道也。兄弟左右手，譬人將鬪㫁右手。曰：「我必勝乎！」,0.759467,4194,8,1.9074868860276586,大样本,0.23843586075345732,0.125,4.0
王建,仁,1,0.757958,0.757958,赠王侍御,君子抱仁义,君子去仁,惡乎成名。,0.757958,4194,8,1.9074868860276586,大样本,0.23843586075345732,0.125,5.0
王建,死,1,0.748309,0.748309,主人故亭,死生不相及,死生有命,,0.748309,4194,8,1.9074868860276586,大样本,0.23843586075345732,0.125,6.0
王建,堂,1,0.746017,0.746017,寄李益少监兼送张实游幽州,不上君子堂,不下堂,天子不下堂而見諸侯。,0.746017,4194,8,1.9074868860276586,大样本,0.23843586075345732,0.125,7.0
王建,舅姑,1,0.741815,0.741815,促刺词（一作促促行）,嫁来常在舅姑傍,舅沒而姑老,《傳》：家事於子婦。,0.741815,4194,8,1.9074868860276586,大样本,0.23843586075345732,0.125,8.0
许浑,仙,1,0.815972,0.815972,王居士,即应生羽翼,生羽翼,,0.815972,4218,4,0.948316737790422,大样本,0.2370791844476055,0.25,2.0
许浑,儒教,1,0.76879,0.76879,送郑寂上人南行,儒家有释子,君子之儒,子謂子夏，曰：「汝為君子儒，無為小人儒。,0.76879,4218,4,0.948316737790422,大样本,0.2370791844476055,0.25,3.0
岑参,竹,1,0.813624,0.813624,梁园歌，送河南王说判官,君不见梁孝王修竹园,梁園,梁孝王有脩竹園。,0.813624,4487,11,2.4515266324938714,大样本,0.22286605749944285,0.09090909090909091,1.0
岑参,言語,1,0.769577,0.769577,潼关镇国军句覆使院早春，寄王同州,闭口不敢言,似不能言,,0.769577,4487,11,2.4515266324938714,大样本,0.22286605749944285,0.09090909090909091,2.0
岑参,笳,1,0.759666,0.759666,田使君美人舞如莲花北鋋歌（此曲本出北同城）,忽作出塞入塞声,出塞入塞,胡笳者，張博望入西域，傳其法於西京，唯得《摩訶兜勤》一曲。李延年因胡曲，更造新聲二十八解，以為武樂，有《出塞》、《入塞》、《楊柳》等十曲。,0.759666,4487,11,2.4515266324938714,大样本,0.22286605749944285,0.09090909090909091,3.0
岑参,縣令,1,0.759304,0.759304,尹相公京兆府中棠树降甘露诗,政成人不欺,人不敢欺,西門豹為政，人不敢欺；鄭子產為政，人不能欺；宓子賤為政，人不敢欺。,0.759304,4487,11,2.4515266324938714,大样本,0.22286605749944285,0.09090909090909091,4.0
岑参,徵聘,1,0.757705,0.757705,送祁乐归河东,天子不召见,不召之臣,公車詔楊秉、韋著並稱疾，不至。有司劾大不敬，正罪。周景、邊韶等議，秉以退譲為節，誠違仄席之望，然逶迤退跡，是抑苟進之風，明王之，世必有不召之臣也。,0.757705,4487,11,2.4515266324938714,大样本,0.22286605749944285,0.09090909090909091,5.0
岑参,弔,1,0.756982,0.756982,渔父,无人知姓名,不知名,《漢》：龔勝死，有父老弔之，甚哀曰：「膏以明自煎，龔生竟夭天年。人莫知其名也。」,0.756982,4487,11,2.4515266324938714,大样本,0.22286605749944285,0.09090909090909091,6.0
岑参,貧,1,0.752805,0.752805,至大梁却寄匡城主人,置之君子堂,君子居,《易》以俟命。,0.752805,4487,11,2.4515266324938714,大样本,0.22286605749944285,0.09090909090909091,7.0
岑参,豪彊,1,0.750936,0.750936,赠酒泉韩太守,太守有能政,威重於太守,寗成免官，居持吏，長短出，從數十騎，其使之威，重于太守。,0.750936,4487,11,2.4515266324938714,大样本,0.22286605749944285,0.09090909090909091,8.0
岑参,出征,1,0.748492,0.748492,送郭仆射节制剑南,丞相欲专征,専征伐,諸侯賜彤弓然後専征伐,0.748492,4487,11,2.4515266324938714,大样本,0.22286605749944285,0.09090909090909091,9.0
岑参,刀,1,0.747393,0.747393,武威送刘单判官赴安西行营，便呈高开府,其锋利如霜,霜鍔,霜鋒。,0.747393,4487,11,2.4515266324938714,大样本,0.22286605749944285,0.09090909090909091,10.0
岑参,寢,1,0.747076,0.747076,河西太守杜公挽歌四首,回瞻北堂上,北堂,安寢北堂上。,0.747076,4487,11,2.4515266324938714,大样本,0.22286605749944285,0.09090909090909091,11.0
钱起,宰相,1,0.765453,0.765453,早渡伊川见旧邻作,相见具舟楫,舟楫,,0.765453,4612,6,1.3009540329575022,大样本,0.21682567215958368,0.16666666666666666,1.0
钱起,勤學,1,0.76333,0.76333,裴侍郎湘川回，以青竹筒相遗，因而赠之,君子知虚心,君子求諸己,,0.76333,4612,6,1.3009540329575022,大样本,0.21682567215958368,0.16666666666666666,2.0
钱起,官班,1,0.75235,0.75235,江行无题一百首（一作钱珝诗）,信是知名物,名以出信,信以守器，器以藏物。《傳》。,0.75235,4612,6,1.3009540329575022,大样本,0.21682567215958368,0.16666666666666666,3.0
钱起,鬼神,1,0.745999,0.745999,咏白油帽送客,行止必依人,依人,鬼神依人而行。,0.745999,4612,6,1.3009540329575022,大样本,0.21682567215958368,0.16666666666666666,4.0
钱起,行旅,1,0.744925,0.744925,夕发箭场岩下作,行役不遑安,不遑寧處,,0.744925,4612,6,1.3009540329575022,大样本,0.21682567215958368,0.16666666666666666,5.0
钱起,賔館,1,0.744264,0.744264,赠李十六,欣然倒屣迎,倒屣迎賔,王粲仲宣詣蔡邕，邕倒屣迎之，粲年少，容貌短小，既至一座盡驚曰：「王孫有異才，吾不如也。吾家書籍文章盡與之。」,0.744264,4612,6,1.3009540329575022,大样本,0.21682567215958368,0.16666666666666666,6.0
佚名,黍稷,1,0.977369,0.977369,郊庙歌辞。梁太庙乐舞辞。送神,黍稷非馨,黍稷非馨,,0.977369,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,8.0
佚名,禍福,1,0.97074,0.97074,郊庙歌辞。太清宫乐章。登歌,降福穰穰,降福穰穰,,0.97074,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,9.0
佚名,鬼神,1,0.9508,0.9508,郊庙歌辞。释奠武成王乐章。迎神,感而遂通,感而遂通,,0.9508,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,10.0
佚名,慎,1,0.945914,0.945914,郊庙歌辞。享太庙乐章。升和,夕惕若厉,夕惕若厲,,0.945914,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,11.0
佚名,侑,1,0.907102,0.907102,郊庙歌辞。周宗庙乐舞辞。肃雍舞,以妥以侑,以妥以侑,《詩》。,0.907102,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,12.0
佚名,舞,1,0.879055,0.879055,郊庙歌辞。周宗庙乐舞辞。肃雍舞,进旅退旅,進旅退旅,言進退齊一也。《禮》。,0.879055,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,13.0
佚名,材木,1,0.876387,0.876387,沈亚之,伐木丁丁,伐木丁丁,聲也。,0.876387,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,14.0
佚名,豬,1,0.870291,0.870291,郊庙歌辞。后唐宗庙乐舞辞。文明舞,信及豚鱼,信及豚魚,《易．中孚》卦。妖《傳》：齊侯田于貝丘，見大豕，人立。從者曰：「彭生也。公怒射之，豕人立而啼。公乃懼之。,0.870291,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,15.0
佚名,恭敬,1,0.838006,0.838006,郊庙歌辞。享太庙乐章。太和,在貌思恭,事思敬,貌思恭。,0.838006,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,16.0
佚名,帝德,1,0.825569,0.825569,郊庙歌辞。后唐宗庙乐舞辞。雍熙舞,百度惟贞,百度惟貞。,,0.825569,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,17.0
佚名,玉,1,0.824575,0.824575,沈亚之,如琢如磨,琢,如琢如磨，玉不琢，不成器。,0.824575,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,18.0
佚名,言語,1,0.822856,0.822856,郊庙歌辞。祀九宫贵神乐章。肃和,穆穆皇皇,穆穆皇皇,言語之美。,0.822856,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,19.0
佚名,御宴,1,0.81821,0.81821,郊庙歌辞。周宗庙乐舞辞。禋顺,旨酒既献,我肴,旨酒,0.81821,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,20.0
佚名,射,1,0.805092,0.805092,郊庙歌辞。晋昭德成功舞歌。武功舞歌二首,既已櫜弓矢,弓矢既調,,0.805092,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,21.0
佚名,海,1,0.780274,0.780274,郊庙歌辞。梁太庙乐舞辞。昭德舞,奄有四海,四海,七戎六蠻，九夷八狄。形類不同。摠而言，謂之四海，言皆近於海。,0.780274,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,22.0
佚名,禮,1,0.774365,0.774365,郊庙歌辞。享太庙乐章。雍和,礼以昭事,禮以防人,,0.774365,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,23.0
佚名,智謀,1,0.771,0.771,郊庙歌辞。周宗庙乐舞辞。明德舞,知微知彰,知微知章。,,0.771,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,24.0
佚名,妖訛,1,0.76364,0.76364,又歌,惑人人不知,熒惑於人,言經營惑亂也。,0.76364,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,25.0
佚名,車,1,0.760259,0.760259,李勣引谚别张文瓘,千里相送,致千里,《莊子》曰：「軸不運而致千里。」,0.760259,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,26.0
佚名,水,1,0.754492,0.754492,郊庙歌辞。汉宗庙乐舞辞。积善舞,滔滔不竭,浩浩滔天,言漫天也。,0.754492,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,27.0
佚名,勤勞,1,0.753801,0.753801,巴州薛刺史歌,日出而耕,暴背而耕,,0.753801,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,28.0
佚名,戈殳矛戟,1,0.753152,0.753152,武后明堂乐章。皇帝行,永戢干戈,載戢干戈,,0.753152,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,29.0
佚名,節度使,1,0.747848,0.747848,劝进疏引谶,中央有天子,摠元帥之任,殿天子之邦。,0.747848,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,30.0
佚名,文武相須,1,0.747472,0.747472,郊庙歌辞。梁太庙乐舞辞。登歌,动以武功,文德,武功。,0.747472,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,31.0
佚名,禱祀,1,0.741768,0.741768,郊庙歌辞。梁郊祀乐章。庆平,享祀不忒,神不享矣,,0.741768,4653,44,9.456264775413711,大样本,0.2149151085321298,0.022727272727272728,32.0
杜牧,日,1,0.826663,0.826663,雪中书怀,如日月縆升,如日之升,,0.826663,4767,5,1.0488777008600798,大样本,0.20977554017201594,0.2,1.0
杜牧,丹藥,1,0.820676,0.820676,题桐叶,一丸五色成虚语,一丸五色,《古詩》云：與我一丸藥，光輝有五色。服之四五日，身體生羽翼。,0.820676,4767,5,1.0488777008600798,大样本,0.20977554017201594,0.2,2.0
杜牧,道士,1,0.748774,0.748774,偶题,道在人间或可传,人能弘道,,0.748774,4767,5,1.0488777008600798,大样本,0.20977554017201594,0.2,3.0
杜牧,乳母,1,0.74416,0.74416,偶题,甘罗昔作秦丞相,甘羅,十二為秦相。,0.74416,4767,5,1.0488777008600798,大样本,0.20977554017201594,0.2,4.0
杜牧,弓,1,0.743773,0.743773,送沈士赴苏州，李中丞招以诗赠行,悬弓三百斤,後漢蓋延（巨卿）彎弓三百斤,,0.743773,4767,5,1.0488777008600798,大样本,0.20977554017201594,0.2,5.0
姚合,仙,1,0.788209,0.788209,寄狄拾遗，时为魏州从事,岂要生羽翼,生羽翼,,0.788209,4771,6,1.2575979878432193,大样本,0.2095996646405366,0.16666666666666666,1.0
姚合,宴,1,0.760999,0.760999,庄恪太子挽词二首,薤露歌连哭,歌薤露,《後漢》：梁商三月上巳會親懿，歌極歡，酒闌罷，唱繼以《薤露》之歌，座中皆掩淚，周舉宣光，以病不預聞之，曰：「哀樂失節。」云云。秋果商薨。,0.760999,4771,6,1.2575979878432193,大样本,0.2095996646405366,0.16666666666666666,2.0
