作者规范,六帖部类,高值句数,最高相似度,平均相似度,代表诗题,代表诗句,代表六帖词条,代表六帖注文,代表相似度,total_line_count,line_p90_count,句级p90互文密度_每千句,样本规模标记,部类高值密度_每千句,部类占诗人高值比例,诗人内部类高值排名
韦表微,仁,1,0.814663,0.814663,池州夫子庙麟台,孰知其仁,仁則吾不知也,,0.814663,40,6,150.0,小样本,25.0,0.16666666666666666,2.0
郭元振,菊,1,0.784792,0.784792,相和歌辞。子夜四时歌六首。秋歌二首,延年菊花酒,菊花酒,費長房謂桓景：「九月九日可登高，飲菊花酒以消災。,0.784792,40,1,25.0,小样本,25.0,1.0,1.0
程长文,節操,1,0.801931,0.801931,狱中书情上使君（长文为强暴所诬系狱，献诗雪冤）,我心匪石情难转,我心匪石,不可轉也,0.801931,42,1,23.809523809523807,小样本,23.809523809523807,1.0,1.0
王丘,雁,1,0.742746,0.742746,奉和圣制答张说扈从南出鼠雀谷之作,江雁入汾河,雁流哀於江海,,0.742746,46,1,21.73913043478261,小样本,21.73913043478261,1.0,1.0
李舒,秋,1,0.817422,0.817422,郊庙歌辞。让皇帝庙乐章。迎神,爰命有司,命有司嘗,嘗群神也。,0.817422,48,1,20.833333333333332,小样本,20.833333333333332,1.0,1.0
赵光逢,德,1,0.814667,0.814667,梁郊祀乐章。庆平,帝德惟馨,明德惟馨,,0.814667,48,4,83.33333333333333,小样本,20.833333333333332,0.25,2.0
赵光逢,禱祀,1,0.741768,0.741768,梁郊祀乐章。庆平,享祀不忒,神不享矣,,0.741768,48,4,83.33333333333333,小样本,20.833333333333332,0.25,3.0
张为,樓,1,0.778845,0.778845,秋醉歌,玉楼十二重,十二重之制,《鮑昭詩》：鳳樓十二重。,0.778845,49,1,20.408163265306122,小样本,20.408163265306122,1.0,1.0
贺兰进明,松柏,2,0.802245,0.788896,行路难五首,叹息青青陵上柏,青陵上柏,,0.802245,100,2,20.0,小样本,20.0,1.0,1.0
李翱,父友,1,0.813436,0.813436,断僧通状,父母不拜,不拜,魏常林伯槐，年七歲。父黨造之，問伯槐曰：「伯先在否，何不拜？」林曰：「對子字，父何拜之有？」,0.813436,50,2,40.0,小样本,20.0,0.5,1.0
宋华,谦讓,1,0.791688,0.791688,蝉鸣一篇五章,君子至止,君子有終,,0.791688,50,1,20.0,小样本,20.0,1.0,1.0
李翱,悔恨,1,0.750061,0.750061,拜禹歌,往者吾弗及兮,往者不可諫,,0.750061,50,2,40.0,小样本,20.0,0.5,2.0
张易之,仙,1,0.78459,0.78459,奉和圣制夏日游石淙山,青鸟白云王母使,青鳥,西王母使。,0.78459,52,1,19.230769230769234,小样本,19.230769230769234,1.0,1.0
孔绍安,相思,1,0.742103,0.742103,伤顾学士,思君不可思,我思不遠,,0.742103,52,1,19.230769230769234,小样本,19.230769230769234,1.0,1.0
尉迟汾,華山,1,0.763621,0.763621,府尹王侍郎准制拜岳，因状嵩高灵胜，寄呈三十韵,视秩居三公,名雄五嶽,袟視三公。,0.763621,60,1,16.666666666666668,小样本,16.666666666666668,1.0,1.0
元希声,道教,1,0.961085,0.961085,赠皇甫侍御赴都八首,道心惟微,道心惟微,,0.961085,62,3,48.387096774193544,小样本,16.129032258064516,0.3333333333333333,1.0
元希声,竹,1,0.880018,0.880018,赠皇甫侍御赴都八首,东南之美,東南之美,《爾雅》曰：東南之美者，有會稽之竹箭焉。,0.880018,62,3,48.387096774193544,小样本,16.129032258064516,0.3333333333333333,2.0
元希声,明天文,1,0.778534,0.778534,赠皇甫侍御赴都八首,牛斗之气,氣衝斗牛,《晉書》：吳之未滅，牛斗之閒，常有紫氣。術者皆云：吳可圖，張華獨以不然，及吳平後，紫氣逾明。華聞雷煥妙達緯象，乃邀煥宿，共尋天文，知將來吉凶。登樓仰觀煥曰：「唯斗牛之閒，有異氣耳。寶劍之精，上徹於天，在酆城獄屋下。,0.778534,62,3,48.387096774193544,小样本,16.129032258064516,0.3333333333333333,3.0
李纾,秋,1,0.817422,0.817422,让皇帝庙乐章。迎神,爰命有司,命有司嘗,嘗群神也。,0.817422,64,1,15.625,小样本,15.625,1.0,1.0
苏涣,織紝,1,0.762948,0.762948,变律（本十九首，今存三首）,一女不得织,一婦不織,賈誼曰：「一婦不織，有受其寒者。,0.762948,64,1,15.625,小样本,15.625,1.0,1.0
卢士衡,幼學,1,0.759045,0.759045,再游紫阳洞重题小松,只是十年五年间,外傅,十年,0.759045,64,1,15.625,小样本,15.625,1.0,1.0
鲍防,言語,1,0.77689,0.77689,元日早朝行,天何言哉乐无穷,天何言哉,子曰予欲無言。,0.77689,65,1,15.384615384615385,小样本,15.384615384615385,1.0,1.0
张志和,婚姻,1,0.756177,0.756177,空洞歌,造化之端,造端,《禮》：造端乎！夫婦。,0.756177,70,1,14.285714285714285,小样本,14.285714285714285,1.0,1.0
王睿,津渡,1,0.800535,0.800535,公无渡河,公无渡河兮公竟渡,公無渡河,崔豹《古今注》：津吏霍子高見白首，狂夫被髮，提壺亂流而渡，其妻止之，不及，遂溺死。妻乃援箜篌，作《公無渡河》之曲，歌終亦投河而死。,0.800535,72,1,13.888888888888888,稳健样本,13.888888888888888,1.0,1.0
刘孝孙,仙,1,0.758512,0.758512,游清都观寻沈道士得仙字,无劳生羽翼,生羽翼,,0.758512,72,1,13.888888888888888,小样本,13.888888888888888,1.0,1.0
陈叔达,禍福,1,0.97074,0.97074,太庙祼地歌辞,降福穰穰,降福穰穰,,0.97074,74,1,13.513513513513514,小样本,13.513513513513514,1.0,1.0
张彪,愚,1,0.743759,0.743759,杂诗,中才不如愚,下愚,子曰：唯上智與下愚不移。,0.743759,76,1,13.157894736842104,小样本,13.157894736842104,1.0,1.0
修雅,賢婦,1,0.758138,0.758138,闻诵《法华经》歌,知是古之人,知人,晉王渾妻鍾氏，名琰。有文才淑求賢，夫有兵家子甚俊，欲妻之。令與羣小吏雜處，琰自帷中察之曰：此人才足㧞萃，然地寒夀促不足展其器，遂止其人。數年卒。,0.758138,81,2,24.691358024691358,小样本,12.345679012345679,0.5,1.0
修雅,拜揖,1,0.743938,0.743938,闻诵《法华经》歌,不稽首而归命,大夫之臣不稽首,以避君也。,0.743938,81,2,24.691358024691358,小样本,12.345679012345679,0.5,2.0
僧鸾,華山,1,0.751525,0.751525,赠李粲秀才（字辉用）,回首瞥见五千仞,削成五千仞,《山海經》：「華山削成而四方，高五千仞，其廣千里。」,0.751525,82,1,12.195121951219512,小样本,12.195121951219512,1.0,1.0
陈去疾,草,1,0.769011,0.769011,偶题,到处生春草,池塘生春草,,0.769011,84,1,11.904761904761903,稳健样本,11.904761904761903,1.0,1.0
皇甫湜,露,1,0.746259,0.746259,出世篇,与天地相终始,天地相合,以降甘露，人莫之令，而自均。《老子》。,0.746259,87,1,11.494252873563218,小样本,11.494252873563218,1.0,1.0
孟迟,言語,1,0.745048,0.745048,发蕙风馆遇阴不见九华山有作,言亦不足听,在耳之言,,0.745048,90,1,11.11111111111111,稳健样本,11.11111111111111,1.0,1.0
张绍,海,1,0.821273,0.821273,冲佑观,四海九州,四海,七戎六蠻，九夷八狄。形類不同。摠而言，謂之四海，言皆近於海。,0.821273,96,2,20.833333333333332,小样本,10.416666666666666,0.5,1.0
张贲,賢,1,0.799777,0.799777,和袭美寒夜见访,仿效从它折角巾,折角巾,郭林宗行，遇雨，巾一角墊士，人故折其巾角以效之。,0.799777,96,2,20.833333333333332,稳健样本,10.416666666666666,0.5,1.0
张绍,仙,1,0.76088,0.76088,冲佑观,会有神仙,神仙,《靈仙列》：仙，九仙、群仙。,0.76088,96,2,20.833333333333332,小样本,10.416666666666666,0.5,2.0
张贲,酒,1,0.757299,0.757299,酬袭美先见寄倒来韵,不知何者是玄纁,玄鬯,《抱朴子》云：玄鬯醇酒也。,0.757299,96,2,20.833333333333332,稳健样本,10.416666666666666,0.5,2.0
临淄县主,死,1,0.917582,0.917582,与独孤穆冥会诗,死生契阔,死生契闊,,0.917582,99,2,20.202020202020204,小样本,10.101010101010102,0.5,1.0
临淄县主,玉,1,0.78766,0.78766,与独孤穆冥会诗,玉笄不可求,玉玦,魏鍾繇元常有玉玦，太子欲得之而難，公密使臨菑侯，因人說之，繇送太子，報繇書云云。,0.78766,99,2,20.202020202020204,小样本,10.101010101010102,0.5,2.0
崔日用,日,1,0.771707,0.771707,奉和九月九日登慈恩寺浮图应制,重阳日再中,再中,漢文帝時，新垣平候日再中。,0.771707,99,1,10.101010101010102,稳健样本,10.101010101010102,1.0,1.0
卢鸿一,宅,1,0.864592,0.864592,嵩山十志十首。草堂,将以避燥湿,以避燥濕,子罕曰：「吾儕小人皆有闔廬，以避燥濕寒暑。」,0.864592,101,2,19.801980198019802,稳健样本,9.900990099009901,0.5,1.0
卢鸿一,相,1,0.762646,0.762646,嵩山十志十首。草堂,此其所贵也,貴不可言,《漢書》：蒯通說韓信曰：「相君之面不過封侯，相君之背，貴不可言。」,0.762646,101,2,19.801980198019802,稳健样本,9.900990099009901,0.5,2.0
刘允济,直,1,0.765725,0.765725,见道边死人（一作刘元济诗。《统签》并入允济诗内）,应为直如弦,如矢之直,,0.765725,116,1,8.620689655172413,小样本,8.620689655172413,1.0,1.0
卢藏用,鶴,1,0.756167,0.756167,宋主簿鸣皋梦赵六予未及报而陈子云亡今追…贻平昔游旧,仙笙不可求,仙笙,王子喬，好吹笙。後告其家人曰：「七月待我於緱氏山頭。及期果為白鶴，謝時人去。,0.756167,116,1,8.620689655172413,小样本,8.620689655172413,1.0,1.0
