作者规范,作者,样本规模标记,total_poem_count,total_line_count,稳健密度样本,大样本密度样本,candidate_line_count,候选句密度_每千句,matched_poem_count,候选诗密度_每百首,line_p90_count,句级p90互文密度_每千句,line_p95_count,句级p95互文密度_每千句,line_ge08_count,句级0.8互文密度_每千句,poem_p90_count,诗级p90互文密度_每百首,poem_p95_count,诗级p95互文密度_每百首,poem_ge08_count,诗级0.8互文密度_每百首,候选句转p90率,候选句转p95率,候选诗转p90率,候选诗转p95率,line_best_mean,line_best_median,line_best_max,poem_best_mean,poem_best_median,poem_best_max,句级p90密度排名_全体,句级p90密度排名_稳健,句级p95密度排名_稳健,诗级p90密度排名_稳健
卢仝,卢仝,大样本,92,1740,True,True,113,64.94252873563218,44,47.82608695652174,13,7.471264367816092,9,5.172413793103448,8,4.597701149425287,11,11.956521739130435,8,8.695652173913043,8,8.695652173913043,0.11504424778761062,0.07964601769911504,0.25,0.18181818181818182,0.6667539911504424,0.657933,0.876619,0.7045770681818181,0.6914184999999999,0.876619,111.0,27.0,19.0,7.0
顾况,顾况,大样本,235,2441,True,True,110,45.06349856616141,68,28.936170212765955,18,7.37402703809914,9,3.68701351904957,5,2.048340843916428,9,3.829787234042553,5,2.127659574468085,4,1.702127659574468,0.16363636363636364,0.08181818181818182,0.1323529411764706,0.07352941176470588,0.6691437363636364,0.661813,0.869718,0.6819610882352941,0.66593,0.869718,112.0,28.0,32.0,50.0
李冶,李冶,稳健样本,19,136,True,False,4,29.41176470588235,4,21.052631578947366,1,7.352941176470588,0,0.0,0,0.0,1,5.263157894736842,0,0.0,0,0.0,0.25,0.0,0.25,0.0,0.68340025,0.678383,0.772461,0.68340025,0.678383,0.772461,113.0,29.0,122.0,33.0
畅当,畅当,稳健样本,15,140,True,False,2,14.285714285714285,2,13.333333333333334,1,7.142857142857142,1,7.142857142857142,0,0.0,1,6.666666666666667,0,0.0,0,0.0,0.5,0.5,0.5,0.0,0.72933,0.72933,0.77928,0.72933,0.72933,0.77928,114.0,30.0,11.0,22.0
水神,水神,稳健样本,11,140,True,False,7,50.0,6,54.54545454545454,1,7.142857142857142,1,7.142857142857142,1,7.142857142857142,1,9.090909090909092,1,9.090909090909092,1,9.090909090909092,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.6756898571428571,0.651853,0.800535,0.6806435,0.6627700000000001,0.800535,114.0,30.0,11.0,11.0
陈子良,陈子良,稳健样本,13,144,True,False,3,20.833333333333332,2,15.384615384615385,1,6.944444444444444,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6915053333333333,0.675022,0.748742,0.711882,0.711882,0.748742,116.0,32.0,122.0,155.0
孙元晏,孙元晏,稳健样本,75,300,True,False,23,76.66666666666666,20,26.666666666666668,2,6.666666666666667,0,0.0,0,0.0,2,2.666666666666667,0,0.0,0,0.0,0.08695652173913043,0.0,0.1,0.0,0.6464486956521739,0.640407,0.765309,0.6479401,0.6465380000000001,0.765309,117.0,33.0,122.0,74.0
周昙,周昙,大样本,195,780,True,True,38,48.717948717948715,36,18.461538461538463,5,6.41025641025641,3,3.8461538461538463,1,1.2820512820512822,4,2.051282051282051,2,1.0256410256410255,1,0.5128205128205128,0.13157894736842105,0.07894736842105263,0.1111111111111111,0.05555555555555555,0.675601052631579,0.676674,0.815338,0.6765279166666667,0.6772655000000001,0.815338,119.0,34.0,30.0,94.0
董思恭,董思恭,稳健样本,19,160,True,False,3,18.75,3,15.789473684210526,1,6.25,1,6.25,1,6.25,1,5.263157894736842,1,5.263157894736842,1,5.263157894736842,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.71483,0.719402,0.800723,0.71483,0.719402,0.800723,120.0,35.0,15.0,33.0
王绩,王绩,稳健样本,43,661,True,False,11,16.64145234493192,7,16.27906976744186,4,6.051437216338881,2,3.0257186081694405,2,3.0257186081694405,3,6.976744186046512,2,4.651162790697675,2,4.651162790697675,0.36363636363636365,0.18181818181818182,0.42857142857142855,0.2857142857142857,0.7012056363636364,0.666676,0.904409,0.7421744285714286,0.742082,0.904409,122.0,36.0,39.0,20.0
高蟾,高蟾,稳健样本,33,166,True,False,11,66.26506024096386,9,27.27272727272727,1,6.024096385542169,1,6.024096385542169,1,6.024096385542169,1,3.0303030303030303,1,3.0303030303030303,1,3.0303030303030303,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.1111111111111111,0.6349754545454546,0.629978,0.801496,0.635288,0.618577,0.801496,123.0,37.0,16.0,60.0
薛据,薛据,稳健样本,13,172,True,False,7,40.697674418604656,5,38.46153846153847,1,5.813953488372093,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.14285714285714285,0.0,0.0,0.0,0.682705,0.681527,0.74738,0.6890902000000001,0.69971,0.74738,125.0,38.0,122.0,155.0
王季友,王季友1,稳健样本,14,176,True,False,12,68.18181818181817,7,50.0,1,5.681818181818182,0,0.0,0,0.0,1,7.142857142857142,0,0.0,0,0.0,0.08333333333333333,0.0,0.14285714285714285,0.0,0.6549279166666667,0.6817934999999999,0.757705,0.6658828571428571,0.697506,0.757705,126.0,39.0,122.0,19.0
张谓,张谓,稳健样本,40,376,True,False,13,34.57446808510638,7,17.5,2,5.319148936170213,1,2.6595744680851063,1,2.6595744680851063,1,2.5,1,2.5,1,2.5,0.15384615384615385,0.07692307692307693,0.14285714285714285,0.14285714285714285,0.6827194615384615,0.672914,0.822471,0.6956578571428571,0.685321,0.822471,127.0,40.0,43.0,82.0
张九龄,张九龄,大样本,193,2828,True,True,66,23.33804809052334,49,25.38860103626943,15,5.3041018387553045,12,4.243281471004243,9,3.1824611032531824,14,7.253886010362693,12,6.217616580310881,9,4.66321243523316,0.22727272727272727,0.18181818181818182,0.2857142857142857,0.24489795918367346,0.7026151818181818,0.685743,0.972149,0.7145507959183673,0.687619,0.972149,129.0,41.0,26.0,18.0
李隆基,李隆基,大样本,65,757,True,True,20,26.42007926023778,14,21.53846153846154,4,5.284015852047556,1,1.321003963011889,1,1.321003963011889,4,6.153846153846154,1,1.5384615384615385,1,1.5384615384615385,0.2,0.05,0.2857142857142857,0.07142857142857142,0.67072705,0.6685350000000001,0.812973,0.6808927142857143,0.6855005000000001,0.812973,130.0,42.0,72.0,28.0
张碧,张碧,稳健样本,15,196,True,False,11,56.12244897959184,7,46.666666666666664,1,5.1020408163265305,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.09090909090909091,0.0,0.0,0.0,0.6269662727272727,0.602041,0.743453,0.6564994285714285,0.66803,0.743453,131.0,43.0,122.0,155.0
吴筠,吴筠,大样本,77,1398,True,True,38,27.181688125894134,24,31.16883116883117,7,5.007153075822604,3,2.1459227467811157,3,2.1459227467811157,5,6.493506493506493,3,3.896103896103896,3,3.896103896103896,0.18421052631578946,0.07894736842105263,0.20833333333333334,0.125,0.699882947368421,0.6949775,0.915111,0.7113790833333334,0.6949775,0.915111,132.0,44.0,53.0,25.0
章碣,章碣,稳健样本,26,200,True,False,4,20.0,4,15.384615384615385,1,5.0,1,5.0,1,5.0,1,3.8461538461538463,1,3.8461538461538463,1,3.8461538461538463,0.25,0.25,0.25,0.25,0.64697325,0.622279,0.800349,0.64697325,0.622279,0.800349,133.0,45.0,20.0,48.0
白居易,白居易,大样本,2643,33303,True,True,1369,41.10740774104435,785,29.701097237987135,161,4.834399303366062,67,2.0118307659970576,30,0.9008197459688316,107,4.048429814604615,44,1.6647748770336739,29,1.0972379871358307,0.11760409057706354,0.04894083272461651,0.13630573248407643,0.05605095541401274,0.6672860796201607,0.665314,0.925862,0.6782619694267517,0.676668,0.925862,135.0,46.0,58.0,44.0
窦牟,窦牟,稳健样本,21,208,True,False,4,19.230769230769234,4,19.047619047619047,1,4.807692307692308,1,4.807692307692308,1,4.807692307692308,1,4.761904761904762,1,4.761904761904762,1,4.761904761904762,0.25,0.25,0.25,0.25,0.70134875,0.6959569999999999,0.827767,0.70134875,0.6959569999999999,0.827767,136.0,47.0,21.0,36.0
